member_1,member_2,phrase_case,frequency
plikatartu,afk,n,2189
isik,ettevõtja,n,897
isik,ettevõtja,g,673
isik,ettevõtja,es,424
amet,vabastamine,g,361
sein,sein,p,359
amet,lahkumine,p,291
amet,vabastamine,n,215
treener,isa,n,207
amet,vabastamine,p,204
isik,ettevõtja,all,195
amet,lahkumine,g,190
elukoht,mittelahkumine,g,150
päev,päev,p,141
andmine,keeldumine,g,140
isik,ettevõtja,p,128
reede,pühapäev,ter,124
aeg,aeg,p,114
amet,vabastamine,tr,112
esmaspäev,reede,ter,111
isik,ettevõtja,ad,109
demokraat,senaator,n,102
rahvus,inimene,p,102
vabariiklane,senaator,n,100
keskerakondlane,abilinnapea,n,99
rahvus,inimene,n,96
vangla,vabanemine,p,90
isik,ettevõtja,tr,89
hollandlane,peatreener,n,88
olukord,riik,in,87
ameeriklane,tagamees,n,87
tootmine,kõrvaldamine,g,87
eraldistart,sõit,in,85
kolmapäev,pühapäev,ter,80
tulumaks,vabastamine,g,80
andmine,keeldumine,n,76
papp,poiss,n,75
reformierakondlane,abilinnapea,n,74
teenistus,vabastamine,n,68
keskerakondlane,liige,n,65
pealagi,jalatald,ter,65
amet,tagandamine,g,63
reklaam,loobumine,g,62
elukoht,lahkumine,g,62
menetlus,väljaarvamine,g,62
ladu,väljaviimine,g,61
asukoht,ühendus,in,60
tulumaks,vabastamine,n,58
mai,september,ter,58
kevad,sügis,ter,58
reformierakondlane,esimees,n,57
rahvus,mees,n,57
riik,lahkumine,tr,57
ots,lõpp,ter,56
suitsetamine,loobumine,n,56
sotsialist,peaminister,n,56
amet,lahkumine,n,55
sein,sein,g,55
esmaspäev,kolmapäev,ter,52
reformierakondlane,linnapea,n,52
algus,lõpp,ter,52
soomlane,peatreener,n,52
teenistus,vabastamine,g,50
amet,vabastamine,ad,49
amet,lahkumine,ad,49
suitsetamine,loobuja,n,49
eraldistart,sõit,g,48
meessugu,isik,n,48
register,kustutamine,g,47
ameeriklane,keskmängija,n,45
keskerakondlane,esimees,n,45
esmaspäev,neljapäev,ter,44
isamaaliitlane,linnapea,n,43
ots,ots,ter,43
piir,piir,ter,42
resident,isik,n,42
naissugu,isik,n,42
isik,ettevõtja,kom,41
kolmapäev,reede,ter,41
põlv,põli,p,41
inglane,kaardilugeja,n,40
sotsiaaldemokraat,peaminister,n,40
maa,lagi,ter,40
suitsetamine,loobumine,g,40
amet,vabastamine,kom,39
keeld,üleastuja,p,39
aasta,professor,n,39
isamaaliitlane,liige,n,38
aasta,liige,n,38
reformierakondlane,liige,n,38
rahvus,kodanik,n,38
neljapäev,pühapäev,ter,38
ühisstart,sõit,in,38
konverents,osavõtja,n,37
liha,inimene,n,37
serv,serv,ter,37
amet,tagandamine,n,36
rootslane,peatreener,n,36
tagatis,vabastamine,g,36
ameeriklane,mängujuht,n,35
tulumaks,vabastamine,p,35
neljapäev,laupäev,ter,35
jordaanlane,terrorist,g,35
riik,lahkumine,g,34
rahvus,isik,n,34
rahvus,mees,p,33
andmine,keeldumine,p,33
sena,ändra,n,33
isamaaliitlane,siseminister,n,32
amet,lahkumine,el,32
kodanlane,aadlimees,n,32
hollandlane,treener,n,32
tasumine,vabastamine,n,32
demokraat,president,n,31
leedulane,olümpiavõitja,n,31
keskerakondlane,linnapea,n,31
riigikogu,lahkumine,p,31
juuli,august,ter,31
teisipäev,reede,ter,31
amet,tagandamine,p,30
amet,lahkumine,tr,30
amet,lahkumine,kom,30
vangla,vabastamine,p,30
register,kustutamine,n,30
teisipäev,neljapäev,ter,30
hommik,rahvas,n,30
vabariiklane,kuberner,n,29
ida,lääs,adt,29
nägu,nägu,adt,29
amet,kõrvaldamine,g,29
tippsport,loobumine,p,29
leedulane,keskmängija,n,29
juuni,juuli,ter,29
teenistus,lahkumine,p,29
sugu,inimene,g,29
andmine,keeldumine,tr,29
vangla,vabanemine,g,28
juuli,september,ter,28
aasta,õppejõud,n,28
mai,juuni,ter,28
ladu,väljavõtmine,g,28
kolmapäev,istung,p,28
vokaal,bark,p,28
riik,lahkumine,p,27
isik,ettevõtja,abl,27
kriis,väljumine,tr,27
ajalehepoiss,miljonär,tr,27
riik,lahkumine,ad,27
põlv,põli,adt,27
ameeriklane,äär,n,27
menetlus,väljaarvamine,p,27
edu,tiivustatu,es,26
isik,ettevõtja,el,26
kaas,kaas,ter,26
eestlanna,abikaasa,n,26
õhtu,õhtu,ill,26
luu,inimene,n,26
rootslane,treener,n,26
mai,august,ter,25
seminar,osavõtja,n,25
suitsetamine,loobumine,tr,25
üksikisik,ettevõtja,n,25
sugu,mees,n,25
juuni,september,ter,25
puu,linn,n,25
islandlane,treener,n,25
serblane,peatreener,n,25
õhtu,hommik,ter,25
tallinn,privage,g,25
isamaaliitlane,abilinnapea,n,24
teisipäev,pühapäev,ter,24
häll,haud,ter,24
põlevkivi,õli,p,24
kolmapäev,laupäev,ter,24
jaanuar,märts,ter,24
kuritegu,mitteteatamine,in,24
juuni,august,ter,24
eestlane,ääremängija,n,24
kommunist,spiiker,n,24
demokraat,kuberner,n,24
valitsus,lahkumine,p,23
aasta,esimees,n,23
eraisik,aktsionär,n,23
vabariiklane,kongresmen,n,23
töö,aeg,ad,23
varahommik,hilisõhtu,ter,23
eraldistart,sõit,n,23
venelane,keskmängija,n,23
amet,vabastamine,el,23
kodakondsus,loobumine,g,23
kuuepäev,sõda,p,23
rahvus,inimene,g,23
registreerimine,keeldumine,g,23
tagasimaksmine,loobumine,n,23
tööjõud,vanus,in,23
keskerakondlane,liige,g,22
eelmüük,kroon,p,22
vangla,vabastamine,g,22
islandlane,peatreener,n,22
aasta,direktor,n,22
eha,koit,ter,22
sadam,lahkumine,p,22
kodu,lahkumine,n,22
kuritegu,mitteteatamine,g,22
brasiillane,ründaja,n,22
ameeriklane,ääremängija,n,22
vabariiklane,president,n,22
isamaaliitlane,linnapea,g,22
eebenipuu,torn,n,22
materjal,sisetald,n,22
karistus,vabastamine,n,22
teisipäev,istung,p,22
õhtu,rahvas,n,22
üksikisik,ettevõtja,g,21
naissugu,isik,p,21
riik,väljasaatmine,n,21
riik,väljasaatmine,g,21
aprill,juuni,ter,21
soe,vesi,el,21
sugu,inimene,n,21
valitsus,lahkumine,g,21
viisa,keeldumine,g,21
nafta-toidu-esi,programm,g,21
tasumine,vabastamine,p,21
riik,riik,p,21
amet,tagandamine,tr,21
liit,väljajäämine,n,21
sugu,isik,g,21
ameeriklane,tagamängija,g,20
esmaspäev,laupäev,ter,20
kodakondsus,vabastamine,tr,20
kriis,väljatoomine,tr,20
meessugu,isik,p,20
teenistus,vabastamine,ad,20
sugu,inimene,p,20
ühisstart,sõit,g,20
esmaspäev,pühapäev,ter,20
tippsport,loobumine,el,20
eestlane,väravavaht,n,20
koalitsioon,lahkumine,g,20
haigla,lahkumine,p,20
register,kustutamine,tr,20
reformierakondlane,linnapea,g,20
naissugu,isik,kom,20
reformierakondlane,peaminister,n,20
keskerakondlane,siseminister,n,20
erakond,lahkumine,g,20
esitamine,vabastamine,n,20
vastuvõtmine,keeldumine,g,20
karistus,vabastamine,g,20
uks,sissemurdmine,n,20
toit,keeldumine,g,20
rahvus,kodanik,p,19
demokraat,liige,n,19
olukord,väljatulemine,tr,19
märts,maa,ter,19
aprill,maa,ter,19
elu,lahkumine,g,19
september,detsember,ter,19
polka,rokk,ter,19
reede,kohtumine,p,19
suitsetamine,loobumine,p,19
riik,väljasaatmine,p,19
leedulane,tagamees,n,19
ameeriklane,tsenter,n,19
vangla,põgenemine,g,19
register,kustutamine,p,19
norralane,olümpiavõitja,n,18
korter,väljatõstmine,n,18
sport,loobumine,p,18
hollandlane,juhendaja,n,18
amet,kõrvaldamine,p,18
sadam,väljumine,p,18
rahvus,mees,g,18
asi,huvitatu,n,18
paekivi,hoone,n,18
aasta,juhataja,n,18
troon,loobumine,g,18
maja,lahkumine,p,18
väljaandmine,keeldumine,g,18
puit,elumaja,n,18
äär,äär,ter,18
leedulane,tsenter,n,18
kuu,kuu,ill,18
reformierakondlane,esimees,g,18
leping,taganemine,g,18
serv,serv,adt,18
isik,esindaja,g,18
rahvus,inimene,kom,17
esimees,peaminister,n,17
vang,vabanemine,p,17
reformierakondlane,linnavolikogu,g,17
soe,vastuvõtt,el,17
prantslane,treener,n,17
asi,huvitatu,ad,17
stress,vabanemine,tr,17
äärmus,äärmus,ill,17
maamaks,vabastamine,g,17
näitleja,abikaasa,n,17
silm,silm,adt,17
rahvus,isik,p,17
elu,lahkumine,p,17
treener,abikaasa,n,17
detsember,jaanuar,ter,17
vangla,vabanenu,g,17
punkt,punkt,g,17
rahvus,laps,p,17
rahvus,isik,g,17
teenistus,lahkumine,g,17
sugu,isik,p,17
rahvus,noor,g,17
plikatartu,kle,n,17
tulu,mahaarvamine,g,16
asukoht,teadja,ad,16
seks,rääkimine,n,16
haigla,väljakirjutamine,p,16
suveaeg,loobumine,g,16
kool,puudumine,g,16
elevandiluu,torn,in,16
olukord,väljumine,tr,16
vangla,vabanenu,n,16
vangla,vabanenu,all,16
norralane,treener,n,16
detsember,märts,ter,16
konkurss,osavõtja,n,16
riigieelarve,raha,g,16
vigastus,paranemine,p,16
soomlane,maailmameister,n,16
hollandlane,treener,g,16
puu,rist,n,16
suvi,suvi,ter,16
menetlus,väljaarvamine,n,16
reede,esmaspäev,ter,16
isamaaliitlane,rahanduskomisjon,g,16
nädal,nädal,ill,16
rahvus,isik,all,16
vabariiklane,senaator,g,16
menetlus,väljaarvamine,tr,16
prantslane,peatreener,n,16
ameeriklane,tagamees,g,16
jaanuar,september,ter,16
politsei,lahkumine,p,16
aprill,oktoober,ter,16
null,alustamine,n,16
november,veebruar,ter,16
põlv,põlv,g,16
wahe,pede,n,16
eestlane,ründaja,n,15
silm,silm,g,15
sein,sein,ter,15
põhi,lõuna,ill,15
pensionär,ema,n,15
karistus,pääsemine,tr,15
sotsialist,peaminister,g,15
pank,lahkumine,p,15
hollandlane,peatreener,g,15
oktoober,detsember,ter,15
asi,huvitatu,all,15
reklaam,loobumine,n,15
jaanuar,juuni,ter,15
idee,teostus,ter,15
kodu,lahkumine,g,15
kool,väljalangemine,g,15
rahvus,laps,n,15
oktoober,märts,ter,15
palestiinlane,suitsiiditerrorist,n,15
sugu,isik,n,15
hagi,loobumine,g,15
mass,sahharoos,g,15
ladu,väljaviimine,n,15
plikatartu,tere,n,15
islandlane,treener,g,14
aasta,näitleja,n,14
klaas,sein,n,14
serv,serv,g,14
teenistus,vabastamine,el,14
koonderakondlane,linnapea,n,14
kodakondsus,vabastamine,g,14
inglane,treener,n,14
sajand,sajand,ill,14
õhupüss,laskmine,in,14
kool,väljalangemine,n,14
brasiillane,treener,n,14
eraisik,aktsionär,p,14
alagrupp,edasipääs,n,14
itaallane,treener,n,14
auto,väljumine,p,14
konservatiiv,peaminister,n,14
sakslane,treener,n,14
koosolek,osavõtja,n,14
vastuvõtmine,keeldumine,n,14
alagrupp,edasipääs,g,14
mäng,võit,p,14
kivi,külaline,n,14
keskerakondlane,riigikogulane,n,14
pronks,kuju,n,14
rahvaliitlane,põllumajandusminister,n,14
poolakas,paavst,n,14
kriminaalasi,keeldumine,g,14
soe,ilm,el,14
karv,käsi,p,14
lätlane,leegionär,n,14
presidendiamet,lahkumine,p,14
amet,kõrvaldamine,n,14
elevandiluu,torn,p,14
demokraat,senaator,g,14
soomlane,omanik,n,14
keskerakondlane,linnapea,g,14
esitamine,vabastamine,g,14
tähtaeg,kinnipidamine,n,14
maks,vabastamine,g,14
riigilõiv,vabastamine,g,14
resident,isik,ad,14
tagasimaksmine,loobumine,g,14
jaanuar,kroon,p,14
kolmapäev,päevakord,adt,14
palestiinlane,enesetaputerrorist,n,14
hasartmängumaks,toetus,g,14
rahvus,elanik,p,13
küla,küla,adt,13
amet,tagandamine,kom,13
sugu,ärimees,n,13
nõupidamine,osavõtja,n,13
eestlane,ärimees,n,13
tulumaks,vabastamine,kom,13
päikesetõus,loojang,ter,13
kool,puudumine,n,13
soomlane,liige,n,13
rahvus,noormees,n,13
amet,vabastamine,ter,13
eraisik,klient,p,13
august,oktoober,ter,13
sakslane,peatreener,n,13
torm,meri,p,13
puu,maja,n,13
ameeriklane,olümpiavõitja,n,13
süda,kahju,n,13
tööelu,väljatõrjumine,g,13
maks,vabastamine,n,13
kool,lahkumine,p,13
august,september,ter,13
eestlane,linnapea,n,13
villa,lõng,p,13
meessugu,isik,g,13
leedulane,tagamängija,g,13
riigikogu,lahkumine,g,13
soomlane,treener,n,13
amet,kõrvaldamine,ad,13
poliitika,lahkumine,p,13
vangla,põgenemine,n,13
vabariiklane,esindajatekoda,g,13
rahvaliitlane,esimees,n,13
tootmine,kõrvaldamine,n,13
allakirjutamine,keeldumine,g,13
reformierakondlane,keskkonnaminister,n,13
pede,vitt,el,13
sotsialist,president,g,12
isamaaliitlane,tee,g,12
invaliid,ema,n,12
korter,väljatõstmine,g,12
reklaamimüük,loobumine,g,12
rivi,langemine,n,12
