lemma,frequency
isik,2989
plikatartu,2447
amet,2239
rahvus,1622
sugu,1349
eestlane,1277
metall,1160
aasta,954
klaas,878
puu,841
puit,793
ameeriklane,712
keskerakondlane,711
naissugu,656
reformierakondlane,642
meessugu,607
soomlane,606
riik,548
venelane,489
sakslane,475
sein,463
vangla,454
vabariiklane,416
kivi,414
demokraat,402
materjal,399
hollandlane,398
plastmass,391
kodu,388
isamaaliitlane,386
esmaspäev,371
kool,354
leedulane,349
rootslane,345
töö,344
nahk,337
papp,329
mai,322
aeg,320
reede,314
enamik,311
andmine,310
teras,310
kuld,298
pronks,296
itaallane,294
eraisik,290
pensionär,279
treener,275
raud,270
riigieelarve,269
tulumaks,266
prantslane,265
olukord,264
elukoht,263
kolmapäev,259
inglane,259
norralane,257
välismaalane,254
kumm,253
teenistus,253
betoon,250
eraldistart,250
päev,249
õhtu,244
lätlane,239
sotsiaaldemokraat,238
haigla,230
plast,225
plastik,225
kodanik,224
elu,219
suitsetamine,212
paekivi,212
koht,206
hõbe,200
menetlus,196
internet,196
jaanuar,186
teisipäev,183
paber,182
serblane,177
külg,176
sotsialist,175
liha,174
maja,173
register,171
kommunist,171
asi,171
tootmine,169
jumal,169
juuli,169
hommik,168
riie,167
aprill,166
ladu,163
plekk,162
ühisstart,162
eestlanna,162
ots,160
linn,159
alumiinium,159
brasiillane,156
tonn,156
auto,155
kriis,155
raha,154
resident,153
ärimees,153
hispaanlane,152
pealinn,151
keel,148
minuaru,148
kodakondsus,147
taanlane,145
soe,145
juuni,144
valitsus,144
rahvaliitlane,143
korter,137
koonderakondlane,137
klass,134
graniit,134
venelanna,131
kroon,130
poolakas,130
miljonär,127
erakond,124
pea,124
poliitika,123
vara,121
märts,121
palestiinlane,121
mäng,120
neljapäev,117
pood,116
vesi,114
maa,113
elanikkond,113
üksikisik,113
leping,112
näitleja,112
pank,110
tippsport,109
karistus,109
konservatiiv,108
miljardär,107
väliseestlane,106
laps,106
sport,105
invaliid,105
islandlane,105
maailm,105
reklaam,105
luu,104
mägi,103
liit,103
marmor,102
kevad,101
muusikal,100
ukrainlane,100
pühapäev,100
auk,99
kesklinn,99
vineer,99
lumi,98
sadam,98
põlv,98
algus,96
tammepuu,96
uks,96
liige,96
september,96
kirjanik,96
vask,96
jää,95
raudbetoon,95
savi,95
narkomaan,94
elevandiluu,94
oktoober,94
eelarve,94
joodik,93
riigikogu,93
keeld,93
asukoht,91
muusika,91
ühiskond,91
sõjavägi,90
austraallane,89
nimekiri,89
sügis,89
tasumine,88
argentiinlane,88
mets,88
haigus,87
arst,87
ülikool,86
serv,85
sõna,85
iraaklane,84
seks,84
kunstnik,83
kangas,82
täispuit,82
kunstnahk,82
august,81
partei,80
maks,80
net,80
teler,79
kanadalane,79
konkurss,79
juut,79
teater,78
tosin,78
kilo,78
pealagi,77
kuritegu,77
detsember,77
villa,77
koalitsioon,77
tšehh,76
paaritund,76
tänapäev,76
ajaloolane,76
november,75
palk,75
kaasmaalane,75
austerlane,74
õnnetus,74
piir,74
tulekahju,74
kunst,73
tehas,73
ida,73
jurist,73
jaapanlane,73
iirlane,72
silm,72
põhikool,72
traat,72
belglane,72
albaanlane,71
alkohoolik,71
tund,71
klubi,70
hiinlane,70
poliitik,70
horvaat,70
ema,69
vastutus,69
aken,69
surm,69
nägu,69
portselan,68
paar,68
reservfond,68
nõukogu,68
alagrupp,68
seadus,68
politsei,67
kreeklane,67
jugoslaavlane,66
suu,66
rivi,66
jordaanlane,66
kile,65
vigastus,65
inimene,65
vastassugu,65
hind,65
tartlane,65
ameeriklanna,64
araablane,63
punkt,63
respublikaan,63
võistlus,63
õhk,62
vald,62
tulevane,62
minumeel,61
pere,61
idee,61
keha,61
advokaat,61
kips,61
käsi,61
edu,60
ajakirjanik,60
seisukoht,60
isa,60
firma,60
vang,59
põlevkivi,59
naine,59
maksmine,59
õpetaja,59
konverents,58
volikogu,58
süda,58
toit,58
ungarlane,58
suvi,57
koondis,57
võim,57
president,57
summa,57
muusik,57
käibemaks,56
film,55
tudeng,55
iga,55
üritus,55
trepp,55
saarlane,55
türklane,54
loodus,54
pool,54
juudisugu,54
konkurents,54
tekst,54
kaitseliitlane,54
eelmüük,53
seminar,53
malm,53
sarn,53
meri,53
eebenipuu,52
keskkonnaala,52
kaal,52
kristlane,52
veebruar,51
teema,51
kaitsevägi,51
nälg,51
prantslanna,51
raadio,51
lääs,51
mitte-eestlane,51
dolomiit,50
mass,50
tulu,50
sari,50
tagatis,50
armeenlane,50
ajateenistus,50
energia,49
ettevõte,49
küla,49
töökoht,49
veerandtund,49
esitamine,48
oodatu,48
vastuvõtmine,48
tähtaeg,48
kodanlane,48
taevas,48
kaunitar,48
soomlanna,47
leiborist,47
sõda,47
šotlane,47
laager,47
abielu,47
mitteresident,47
stress,47
,47
rasedus,46
terror,46
nädal,46
põhi,46
hotell,46
kirik,46
lennujaam,46
ühendus,46
otsus,45
gramm,45
rand,45
ilm,45
tööjõud,45
täitmine,45
lapsepõlv,45
päevakord,45
egiptlane,44
peo,44
karv,44
samet,44
fraktsioon,44
meeskond,44
ajalugu,44
neeger,43
piim,43
asjaarmastaja,43
ekskommunist,43
uustulnuk,43
lastekodu,43
elanik,43
eurooplane,43
sajand,43
ring,43
norm,43
merepõhi,43
pöör,43
politseinik,42
parkla,42
troon,42
olümpiavõitja,42
kord,42
tsiviilisik,42
erakonnakaaslane,42
mõnitei,42
registreerimine,42
eripära,42
šveitslane,42
väeosa,41
väljaandmine,41
portugallane,41
tubakas,41
enesetapja,41
start,41
alkohol,41
vaim,41
käik,40
müük,40
lennuk,40
tallinlane,40
britt,40
selg,40
tagasimaksmine,40
sõjaväelane,40
rootslanna,40
sõiduk,40
veteran,39
nafta-toidu-esi,39
pudel,39
reis,39
raamat,39
suveaeg,39
laulja,39
seisus,39
hoone,39
isamaalane,39
vana,39
itaallanna,39
aine,38
osa,38
kuuepäev,38
saal,38
kogus,38
sakslanna,38
vabadussõda,38
saade,38
demokraatia,38
liiga,38
kuu,37
õhupüss,37
katoliiklane,37
ruum,37
majanduskriis,37
süsteem,37
rass,37
tollimaks,37
filipiinlane,37
kristall,37
lamp,37
projekt,36
jõgi,36
politseiteenistus,36
jänki,36
koosolek,36
võrk,36
parteikaaslane,36
veri,36
tallinn,36
tekstiil,36
vägivald,36
organisatsioon,36
teemakoht,36
